[2026-01-21T02:35:55.458806+00:00] agent started NMS_BASE=http://192.168.137.3:8000 poll=5s limit=10
[2026-01-21T02:35:55.459215+00:00] scanner_name.txt missing/empty; will attempt registration
[2026-01-21T03:56:38.411895+00:00] still unassigned; retry in 10s
[2026-01-21T03:56:54.696289+00:00] still unassigned; retry in 10s
[2026-01-21T03:57:10.983239+00:00] still unassigned; retry in 10s
[2026-01-21T03:57:27.272731+00:00] still unassigned; retry in 10s
[2026-01-21T03:57:43.559518+00:00] still unassigned; retry in 10s
[2026-01-21T03:57:59.849888+00:00] still unassigned; retry in 10s
[2026-01-21T03:58:16.138571+00:00] still unassigned; retry in 10s
[2026-01-21T03:58:32.422774+00:00] still unassigned; retry in 10s
[2026-01-21T03:58:48.752770+00:00] still unassigned; retry in 10s
[2026-01-21T03:59:05.041576+00:00] still unassigned; retry in 10s
[2026-01-21T03:59:21.320646+00:00] still unassigned; retry in 10s
[2026-01-21T03:59:37.606956+00:00] still unassigned; retry in 10s
[2026-01-21T03:59:53.893138+00:00] still unassigned; retry in 10s
[2026-01-21T04:00:10.183757+00:00] still unassigned; retry in 10s
[2026-01-21T04:00:26.471843+00:00] still unassigned; retry in 10s
[2026-01-21T04:00:42.762572+00:00] still unassigned; retry in 10s
[2026-01-21T04:00:59.048645+00:00] still unassigned; retry in 10s
[2026-01-21T04:01:15.338159+00:00] still unassigned; retry in 10s
[2026-01-21T04:01:31.625237+00:00] still unassigned; retry in 10s
[2026-01-21T04:01:47.914100+00:00] still unassigned; retry in 10s
[2026-01-21T04:02:04.203881+00:00] still unassigned; retry in 10s
[2026-01-21T04:02:20.495312+00:00] still unassigned; retry in 10s
[2026-01-21T04:02:36.776749+00:00] still unassigned; retry in 10s
[2026-01-21T04:02:53.066115+00:00] still unassigned; retry in 10s
[2026-01-21T04:03:09.352716+00:00] still unassigned; retry in 10s
[2026-01-21T04:03:25.638955+00:00] still unassigned; retry in 10s
[2026-01-21T04:03:41.925326+00:00] still unassigned; retry in 10s
[2026-01-21T04:03:58.212433+00:00] still unassigned; retry in 10s
[2026-01-21T04:04:14.503164+00:00] still unassigned; retry in 10s
[2026-01-21T04:04:30.788410+00:00] still unassigned; retry in 10s
[2026-01-21T04:04:47.074702+00:00] still unassigned; retry in 10s
[2026-01-21T04:05:03.368565+00:00] still unassigned; retry in 10s
[2026-01-21T04:05:19.653156+00:00] still unassigned; retry in 10s
[2026-01-21T04:05:35.939171+00:00] still unassigned; retry in 10s
[2026-01-21T04:05:52.225771+00:00] still unassigned; retry in 10s
[2026-01-21T04:06:08.512417+00:00] still unassigned; retry in 10s
[2026-01-21T04:06:24.800329+00:00] still unassigned; retry in 10s
[2026-01-21T04:06:41.086968+00:00] still unassigned; retry in 10s
[2026-01-21T04:06:57.378005+00:00] still unassigned; retry in 10s
[2026-01-21T04:07:13.664885+00:00] still unassigned; retry in 10s
[2026-01-21T04:07:29.955241+00:00] still unassigned; retry in 10s
[2026-01-21T04:07:46.247118+00:00] still unassigned; retry in 10s
[2026-01-21T04:08:02.534338+00:00] still unassigned; retry in 10s
[2026-01-21T04:08:18.823290+00:00] still unassigned; retry in 10s
[2026-01-21T04:08:35.114939+00:00] still unassigned; retry in 10s
[2026-01-21T04:08:51.402674+00:00] still unassigned; retry in 10s
[2026-01-21T04:09:07.694463+00:00] still unassigned; retry in 10s
[2026-01-21T04:09:23.979600+00:00] still unassigned; retry in 10s
[2026-01-21T04:09:40.266668+00:00] still unassigned; retry in 10s
[2026-01-21T04:09:56.554349+00:00] still unassigned; retry in 10s
[2026-01-21T04:10:12.845914+00:00] still unassigned; retry in 10s
[2026-01-21T04:10:29.134151+00:00] still unassigned; retry in 10s
[2026-01-21T04:10:45.418472+00:00] still unassigned; retry in 10s
[2026-01-21T04:11:01.706298+00:00] still unassigned; retry in 10s
[2026-01-21T04:11:17.991173+00:00] still unassigned; retry in 10s
[2026-01-21T04:11:34.277936+00:00] still unassigned; retry in 10s
[2026-01-21T04:11:50.564778+00:00] still unassigned; retry in 10s
[2026-01-21T04:12:06.850330+00:00] still unassigned; retry in 10s
[2026-01-21T04:12:23.136556+00:00] still unassigned; retry in 10s
[2026-01-21T04:12:39.425524+00:00] still unassigned; retry in 10s
[2026-01-21T04:12:55.769746+00:00] still unassigned; retry in 10s
[2026-01-21T04:13:12.058866+00:00] still unassigned; retry in 10s
[2026-01-21T04:13:28.349220+00:00] still unassigned; retry in 10s
[2026-01-21T04:13:44.635358+00:00] still unassigned; retry in 10s
[2026-01-21T04:14:00.924127+00:00] still unassigned; retry in 10s
[2026-01-21T04:14:17.213232+00:00] still unassigned; retry in 10s
[2026-01-21T04:14:33.499533+00:00] still unassigned; retry in 10s
[2026-01-21T04:14:49.785072+00:00] still unassigned; retry in 10s
[2026-01-21T04:15:06.079715+00:00] still unassigned; retry in 10s
[2026-01-21T04:15:22.371375+00:00] still unassigned; retry in 10s
[2026-01-21T04:15:38.665119+00:00] still unassigned; retry in 10s
[2026-01-21T04:15:54.953211+00:00] still unassigned; retry in 10s
[2026-01-21T04:16:11.240832+00:00] still unassigned; retry in 10s
[2026-01-21T04:16:27.529794+00:00] still unassigned; retry in 10s
[2026-01-21T04:16:43.815395+00:00] still unassigned; retry in 10s
[2026-01-21T04:17:00.102814+00:00] still unassigned; retry in 10s
[2026-01-21T04:17:16.387509+00:00] still unassigned; retry in 10s
[2026-01-21T04:17:32.679318+00:00] still unassigned; retry in 10s
[2026-01-21T04:17:48.969350+00:00] still unassigned; retry in 10s
[2026-01-21T04:18:05.255622+00:00] still unassigned; retry in 10s
[2026-01-21T04:18:21.541783+00:00] still unassigned; retry in 10s
[2026-01-21T04:18:37.832748+00:00] still unassigned; retry in 10s
[2026-01-21T04:18:54.118567+00:00] still unassigned; retry in 10s
[2026-01-21T04:19:10.405956+00:00] still unassigned; retry in 10s
[2026-01-21T04:19:26.697789+00:00] still unassigned; retry in 10s
[2026-01-21T04:19:42.983875+00:00] still unassigned; retry in 10s
[2026-01-21T04:19:59.270737+00:00] still unassigned; retry in 10s
[2026-01-21T04:20:15.556221+00:00] still unassigned; retry in 10s
[2026-01-21T04:20:31.843340+00:00] still unassigned; retry in 10s
[2026-01-21T04:20:48.129424+00:00] still unassigned; retry in 10s
[2026-01-21T04:21:04.416355+00:00] still unassigned; retry in 10s
[2026-01-21T04:21:20.703690+00:00] still unassigned; retry in 10s
[2026-01-21T04:21:36.993757+00:00] still unassigned; retry in 10s
[2026-01-21T04:21:53.282516+00:00] still unassigned; retry in 10s
[2026-01-21T04:22:09.568932+00:00] still unassigned; retry in 10s
[2026-01-21T04:22:25.855241+00:00] still unassigned; retry in 10s
[2026-01-21T04:22:42.146548+00:00] still unassigned; retry in 10s
[2026-01-21T04:22:58.431825+00:00] still unassigned; retry in 10s
[2026-01-21T04:23:14.718735+00:00] still unassigned; retry in 10s
